Name,Mean index value,Index value SD,CV,index_id,measurement_id,altitude_id,annotation_method_id,variety_id,plot_id
POLO5malykwadrat,0.34409,0.09847,0.286175129,LCI,1,30,edges,polonez,five
ENRO2duzykwadrat,0.67258,0.29452,0.437895864,MCARI,1,30,bounded,enrosadira,two
ENRO2malykwadrat,0.79316,0.24879,0.313669373,MCARI,1,30,edges,enrosadira,two
ENRO3duzykwadrat,0.75417,0.30044,0.39837172,MCARI,1,30,bounded,enrosadira,three
ENRO3malykwadrat,0.85193,0.2405,0.282300189,MCARI,1,30,edges,enrosadira,three
ENRO4duzykwadrat,0.78138,0.28773,0.368233126,MCARI,1,30,bounded,enrosadira,four
ENRO4malykwadrat,0.88009,0.20504,0.232976173,MCARI,1,30,edges,enrosadira,four
ENRO5duzykwadrat,0.8875,0.26506,0.298659155,MCARI,1,30,bounded,enrosadira,five
ENRO5malykwadrat,0.95538,0.19367,0.20271515,MCARI,1,30,edges,enrosadira,five
POLO2duzykwadrat,0.69714,0.34033,0.488180279,MCARI,1,30,bounded,polonez,two
POLO2malykwadrat,0.79596,0.31118,0.390949294,MCARI,1,30,edges,polonez,two
POLO3duzykwadrat,0.77573,0.31442,0.405321439,MCARI,1,30,bounded,polonez,three
POLO3malykwadrat,0.88216,0.23652,0.268114628,MCARI,1,30,edges,polonez,three
POLO4duzykwadrat,0.78815,0.32667,0.41447694,MCARI,1,30,bounded,polonez,four
POLO4malykwadrat,0.93061,0.19911,0.213956437,MCARI,1,30,edges,polonez,four
POLO5duzykwadrat,0.87564,0.25747,0.294036362,MCARI,1,30,bounded,polonez,five
POLO5malykwadrat,0.93497,0.17539,0.187588907,MCARI,1,30,edges,polonez,five
ENRO2duzykwadrat,0.59542,0.22744,0.381982466,MCARI2,1,30,bounded,enrosadira,two
ENRO2malykwadrat,0.69453,0.17891,0.257598664,MCARI2,1,30,edges,enrosadira,two
ENRO3duzykwadrat,0.66364,0.22249,0.335257067,MCARI2,1,30,bounded,enrosadira,three
ENRO3malykwadrat,0.75486,0.14851,0.196738468,MCARI2,1,30,edges,enrosadira,three
ENRO4duzykwadrat,0.70516,0.19635,0.278447445,MCARI2,1,30,bounded,enrosadira,four
ENRO4malykwadrat,0.79052,0.10661,0.134860598,MCARI2,1,30,edges,enrosadira,four
ENRO5duzykwadrat,0.76774,0.17504,0.227993852,MCARI2,1,30,bounded,enrosadira,five
ENRO5malykwadrat,0.82717,0.1011,0.122223968,MCARI2,1,30,edges,enrosadira,five
POLO2duzykwadrat,0.58801,0.25911,0.440655771,MCARI2,1,30,bounded,polonez,two
POLO2malykwadrat,0.67901,0.21584,0.317874553,MCARI2,1,30,edges,polonez,two
POLO3duzykwadrat,0.67063,0.22476,0.335147548,MCARI2,1,30,bounded,polonez,three
POLO3malykwadrat,0.75948,0.14626,0.192579133,MCARI2,1,30,edges,polonez,three
POLO4duzykwadrat,0.68645,0.23303,0.339471192,MCARI2,1,30,bounded,polonez,four
POLO4malykwadrat,0.80101,0.10771,0.134467734,MCARI2,1,30,edges,polonez,four
POLO5duzykwadrat,0.7549,0.16964,0.224718506,MCARI2,1,30,bounded,polonez,five
POLO5malykwadrat,0.80957,0.09617,0.118791457,MCARI2,1,30,edges,polonez,five
ENRO2duzykwadrat,0.22267,0.07877,0.353752189,NDRE,1,30,bounded,enrosadira,two
ENRO2malykwadrat,0.21799,0.06748,0.309555484,NDRE,1,30,edges,enrosadira,two
ENRO3duzykwadrat,0.23186,0.08361,0.360605538,NDRE,1,30,bounded,enrosadira,three
ENRO3malykwadrat,0.23929,0.07721,0.322662878,NDRE,1,30,edges,enrosadira,three
ENRO4duzykwadrat,0.25808,0.0902,0.34950403,NDRE,1,30,bounded,enrosadira,four
ENRO4malykwadrat,0.25754,0.07787,0.302360798,NDRE,1,30,edges,enrosadira,four
ENRO5duzykwadrat,0.24151,0.08346,0.345575753,NDRE,1,30,bounded,enrosadira,five
ENRO5malykwadrat,0.24729,0.07465,0.301872296,NDRE,1,30,edges,enrosadira,five
POLO2duzykwadrat,0.20861,0.08636,0.413978237,NDRE,1,30,bounded,polonez,two
POLO2malykwadrat,0.21584,0.08288,0.383988139,NDRE,1,30,edges,polonez,two
POLO3duzykwadrat,0.23121,0.09139,0.395268371,NDRE,1,30,bounded,polonez,three
POLO3malykwadrat,0.22305,0.07515,0.336919973,NDRE,1,30,edges,polonez,three
POLO4duzykwadrat,0.24878,0.1017,0.408794919,NDRE,1,30,bounded,polonez,four
POLO4malykwadrat,0.22997,0.07519,0.32695569,NDRE,1,30,edges,polonez,four
POLO5duzykwadrat,0.2264,0.0863,0.381183746,NDRE,1,30,bounded,polonez,five
POLO5malykwadrat,0.22964,0.07664,0.333739767,NDRE,1,30,edges,polonez,five
ENRO2duzykwadrat,0.76651,0.17452,0.227681309,NDVI,1,30,bounded,enrosadira,two
ENRO2malykwadrat,0.81326,0.12233,0.1504193,NDVI,1,30,edges,enrosadira,two
ENRO3duzykwadrat,0.80042,0.16555,0.206828915,NDVI,1,30,bounded,enrosadira,three
ENRO3malykwadrat,0.85537,0.09327,0.109040532,NDVI,1,30,edges,enrosadira,three
ENRO4duzykwadrat,0.85414,0.10103,0.118282717,NDVI,1,30,bounded,enrosadira,four
ENRO4malykwadrat,0.87601,0.06599,0.07533019,NDVI,1,30,edges,enrosadira,four
ENRO5duzykwadrat,0.84721,0.12279,0.14493455,NDVI,1,30,bounded,enrosadira,five
ENRO5malykwadrat,0.87677,0.06055,0.069060301,NDVI,1,30,edges,enrosadira,five
POLO2duzykwadrat,0.74635,0.17735,0.237623099,NDVI,1,30,bounded,polonez,two
POLO2malykwadrat,0.81441,0.10966,0.134649624,NDVI,1,30,edges,polonez,two
POLO3duzykwadrat,0.81979,0.11952,0.145793435,NDVI,1,30,bounded,polonez,three
POLO3malykwadrat,0.84737,0.08606,0.101561301,NDVI,1,30,edges,polonez,three
POLO4duzykwadrat,0.84547,0.08218,0.097200374,NDVI,1,30,bounded,polonez,four
POLO4malykwadrat,0.86429,0.06521,0.075449213,NDVI,1,30,edges,polonez,four
POLO5duzykwadrat,0.84794,0.08691,0.10249546,NDVI,1,30,bounded,polonez,five
POLO5malykwadrat,0.8642,0.06486,0.075052071,NDVI,1,30,edges,polonez,five
ENRO2duzykwadrat,0.5564,0.13857,0.249047448,OSAVI,1,30,bounded,enrosadira,two
ENRO2malykwadrat,0.61403,0.10143,0.165187369,OSAVI,1,30,edges,enrosadira,two
ENRO3duzykwadrat,0.59525,0.13403,0.225165897,OSAVI,1,30,bounded,enrosadira,three
ENRO3malykwadrat,0.65047,0.07879,0.1211278,OSAVI,1,30,edges,enrosadira,three
ENRO4duzykwadrat,0.62562,0.10339,0.165260062,OSAVI,1,30,bounded,enrosadira,four
ENRO4malykwadrat,0.67092,0.05159,0.076894414,OSAVI,1,30,edges,enrosadira,four
ENRO5duzykwadrat,0.6502,0.10027,0.154214088,OSAVI,1,30,bounded,enrosadira,five
ENRO5malykwadrat,0.68363,0.05009,0.073270629,OSAVI,1,30,edges,enrosadira,five
POLO2duzykwadrat,0.54211,0.15915,0.293575105,OSAVI,1,30,bounded,polonez,two
POLO2malykwadrat,0.60287,0.12016,0.199313285,OSAVI,1,30,edges,polonez,two
POLO3duzykwadrat,0.60092,0.1253,0.208513612,OSAVI,1,30,bounded,polonez,three
POLO3malykwadrat,0.65056,0.07662,0.117775455,OSAVI,1,30,edges,polonez,three
POLO4duzykwadrat,0.60938,0.12677,0.208031114,OSAVI,1,30,bounded,polonez,four
POLO4malykwadrat,0.67143,0.05375,0.080053021,OSAVI,1,30,edges,polonez,four
POLO5duzykwadrat,0.64356,0.08911,0.138464168,OSAVI,1,30,bounded,polonez,five
POLO5malykwadrat,0.67227,0.04896,0.072827882,OSAVI,1,30,edges,polonez,five
ENRO2duzykwadrat,0.90205,0.04948,0.054852835,SIPI2,1,30,bounded,enrosadira,two
ENRO2malykwadrat,0.88775,0.04205,0.047366939,SIPI2,1,30,edges,enrosadira,two
ENRO3duzykwadrat,0.90653,0.04775,0.052673381,SIPI2,1,30,bounded,enrosadira,three
ENRO3malykwadrat,0.89792,0.03902,0.043455987,SIPI2,1,30,edges,enrosadira,three
ENRO4duzykwadrat,0.90425,0.04059,0.044888029,SIPI2,1,30,bounded,enrosadira,four
ENRO4malykwadrat,0.9027,0.03594,0.039813892,SIPI2,1,30,edges,enrosadira,four
ENRO5duzykwadrat,0.89411,0.04245,0.04747738,SIPI2,1,30,bounded,enrosadira,five
ENRO5malykwadrat,0.89088,0.03564,0.040005388,SIPI2,1,30,edges,enrosadira,five
POLO2duzykwadrat,0.89346,0.06343,0.070993665,SIPI2,1,30,bounded,polonez,two
POLO2malykwadrat,0.88083,0.05389,0.061180932,SIPI2,1,30,edges,polonez,two
POLO3duzykwadrat,0.89755,0.04457,0.049657401,SIPI2,1,30,bounded,polonez,three
POLO3malykwadrat,0.89164,0.03948,0.04427796,SIPI2,1,30,edges,polonez,three
POLO4duzykwadrat,0.89514,0.04281,0.047824921,SIPI2,1,30,bounded,polonez,four
POLO4malykwadrat,0.8905,0.03803,0.042706345,SIPI2,1,30,edges,polonez,four
POLO5duzykwadrat,0.88196,0.04313,0.048902445,SIPI2,1,30,bounded,polonez,five
POLO5malykwadrat,0.88247,0.0405,0.045893911,SIPI2,1,30,edges,polonez,five
ENRO2duzykwadrat,0.62563,0.12363,0.19760881,GNDVI,1,50,bounded,enrosadira,two
ENRO2malykwadrat,0.65276,0.0918,0.140633617,GNDVI,1,50,edges,enrosadira,two
ENRO3duzykwadrat,0.66151,0.10514,0.158939396,GNDVI,1,50,bounded,enrosadira,three
ENRO3malykwadrat,0.69272,0.08021,0.11578993,GNDVI,1,50,edges,enrosadira,three
ENRO4duzykwadrat,0.69206,0.0907,0.131058001,GNDVI,1,50,bounded,enrosadira,four
ENRO4malykwadrat,0.72228,0.06813,0.0943263,GNDVI,1,50,edges,enrosadira,four
ENRO5duzykwadrat,0.70955,0.07211,0.101627792,GNDVI,1,50,bounded,enrosadira,five
ENRO5malykwadrat,0.71608,0.06182,0.086331136,GNDVI,1,50,edges,enrosadira,five
POLO2duzykwadrat,0.63147,0.09913,0.156982913,GNDVI,1,50,bounded,polonez,two
POLO2malykwadrat,0.65489,0.07832,0.119592603,GNDVI,1,50,edges,polonez,two
POLO3duzykwadrat,0.66826,0.08912,0.133361267,GNDVI,1,50,bounded,polonez,three
POLO3malykwadrat,0.683,0.07497,0.109765739,GNDVI,1,50,edges,polonez,three
POLO4duzykwadrat,0.66805,0.09049,0.135453933,GNDVI,1,50,bounded,polonez,four
POLO4malykwadrat,0.69181,0.06708,0.096963039,GNDVI,1,50,edges,polonez,four
POLO5duzykwadrat,0.68417,0.0707,0.10333689,GNDVI,1,50,bounded,polonez,five
POLO5malykwadrat,0.69902,0.06659,0.095261938,GNDVI,1,50,edges,polonez,five
ENRO2duzykwadrat,0.31113,0.09477,0.304599364,LCI,1,50,bounded,enrosadira,two
ENRO2malykwadrat,0.31537,0.0748,0.237181723,LCI,1,50,edges,enrosadira,two
ENRO3duzykwadrat,0.32671,0.09235,0.282666585,LCI,1,50,bounded,enrosadira,three
ENRO3malykwadrat,0.34445,0.08344,0.242241254,LCI,1,50,edges,enrosadira,three
ENRO4duzykwadrat,0.354,0.09879,0.279067797,LCI,1,50,bounded,enrosadira,four
ENRO4malykwadrat,0.3749,0.08656,0.230888237,LCI,1,50,edges,enrosadira,four
ENRO5duzykwadrat,0.36519,0.09062,0.248144801,LCI,1,50,bounded,enrosadira,five
ENRO5malykwadrat,0.36532,0.07767,0.212608124,LCI,1,50,edges,enrosadira,five
POLO2duzykwadrat,0.31678,0.10046,0.317128607,LCI,1,50,bounded,polonez,two
POLO2malykwadrat,0.30887,0.08313,0.269142358,LCI,1,50,edges,polonez,two
POLO3duzykwadrat,0.33119,0.09417,0.284338295,LCI,1,50,bounded,polonez,three
POLO3malykwadrat,0.33253,0.0815,0.245090669,LCI,1,50,edges,polonez,three
POLO4duzykwadrat,0.33017,0.09345,0.283036012,LCI,1,50,bounded,polonez,four
POLO4malykwadrat,0.33941,0.07971,0.234848708,LCI,1,50,edges,polonez,four
POLO5duzykwadrat,0.33852,0.08524,0.251801961,LCI,1,50,bounded,polonez,five
POLO5malykwadrat,0.35235,0.07939,0.225315737,LCI,1,50,edges,polonez,five
ENRO2duzykwadrat,0.6435,0.25233,0.392121212,MCARI,1,50,bounded,enrosadira,two
ENRO2malykwadrat,0.75132,0.20903,0.278217005,MCARI,1,50,edges,enrosadira,two
ENRO3duzykwadrat,0.78174,0.2542,0.325172052,MCARI,1,50,bounded,enrosadira,three
ENRO3malykwadrat,0.8488,0.20084,0.2366164,MCARI,1,50,edges,enrosadira,three
ENRO4duzykwadrat,0.78555,0.23664,0.301241169,MCARI,1,50,bounded,enrosadira,four
ENRO4malykwadrat,0.84954,0.17288,0.203498364,MCARI,1,50,edges,enrosadira,four
ENRO5duzykwadrat,0.86832,0.21801,0.251071034,MCARI,1,50,bounded,enrosadira,five
ENRO5malykwadrat,0.92949,0.15163,0.16313247,MCARI,1,50,edges,enrosadira,five
POLO2duzykwadrat,0.68216,0.29756,0.43620265,MCARI,1,50,bounded,polonez,two
POLO2malykwadrat,0.80934,0.22719,0.280710208,MCARI,1,50,edges,polonez,two
POLO3duzykwadrat,0.79171,0.25475,0.321771861,MCARI,1,50,bounded,polonez,three
POLO3malykwadrat,0.87106,0.19843,0.227802907,MCARI,1,50,edges,polonez,three
POLO4duzykwadrat,0.83059,0.23011,0.277044029,MCARI,1,50,bounded,polonez,four
POLO4malykwadrat,0.91302,0.1592,0.174366388,MCARI,1,50,edges,polonez,four
POLO5duzykwadrat,0.87193,0.19478,0.223389492,MCARI,1,50,bounded,polonez,five
POLO5malykwadrat,0.90039,0.13468,0.149579627,MCARI,1,50,edges,polonez,five
ENRO2duzykwadrat,0.58798,0.21033,0.357716249,MCARI2,1,50,bounded,enrosadira,two
ENRO2malykwadrat,0.68093,0.16426,0.241228908,MCARI2,1,50,edges,enrosadira,two
ENRO3duzykwadrat,0.69884,0.19418,0.277860454,MCARI2,1,50,bounded,enrosadira,three
ENRO3malykwadrat,0.76666,0.13224,0.172488456,MCARI2,1,50,edges,enrosadira,three
ENRO4duzykwadrat,0.72084,0.17248,0.2392764,MCARI2,1,50,bounded,enrosadira,four
ENRO4malykwadrat,0.78826,0.09628,0.12214244,MCARI2,1,50,edges,enrosadira,four
ENRO5duzykwadrat,0.78284,0.1342,0.171427112,MCARI2,1,50,bounded,enrosadira,five
ENRO5malykwadrat,0.82968,0.08122,0.097893164,MCARI2,1,50,edges,enrosadira,five
POLO2duzykwadrat,0.60444,0.2321,0.383991794,MCARI2,1,50,bounded,polonez,two
POLO2malykwadrat,0.71094,0.15669,0.220398346,MCARI2,1,50,edges,polonez,two
POLO3duzykwadrat,0.7031,0.18441,0.262281326,MCARI2,1,50,bounded,polonez,three
POLO3malykwadrat,0.76814,0.12843,0.167196084,MCARI2,1,50,edges,polonez,three
POLO4duzykwadrat,0.7312,0.17059,0.233301422,MCARI2,1,50,bounded,polonez,four
POLO4malykwadrat,0.80159,0.09141,0.114035854,MCARI2,1,50,edges,polonez,four
POLO5duzykwadrat,0.77325,0.1276,0.165017782,MCARI2,1,50,bounded,polonez,five
POLO5malykwadrat,0.80692,0.07737,0.095883111,MCARI2,1,50,edges,polonez,five
ENRO2duzykwadrat,0.21683,0.06825,0.314762717,NDRE,1,50,bounded,enrosadira,two
ENRO2malykwadrat,0.21359,0.05589,0.261669554,NDRE,1,50,edges,enrosadira,two
ENRO3duzykwadrat,0.22256,0.06905,0.310253415,NDRE,1,50,bounded,enrosadira,three
ENRO3malykwadrat,0.23117,0.06441,0.278626119,NDRE,1,50,edges,enrosadira,three
ENRO4duzykwadrat,0.24146,0.07724,0.319887352,NDRE,1,50,bounded,enrosadira,four
ENRO4malykwadrat,0.25321,0.06884,0.271869199,NDRE,1,50,edges,enrosadira,four
ENRO5duzykwadrat,0.24636,0.07274,0.295258971,NDRE,1,50,bounded,enrosadira,five
ENRO5malykwadrat,0.24402,0.06173,0.252971068,NDRE,1,50,edges,enrosadira,five
POLO2duzykwadrat,0.22191,0.08383,0.377765761,NDRE,1,50,bounded,polonez,two
POLO2malykwadrat,0.20754,0.0661,0.318492821,NDRE,1,50,edges,polonez,two
POLO3duzykwadrat,0.22542,0.0748,0.331825038,NDRE,1,50,bounded,polonez,three
POLO3malykwadrat,0.22237,0.06313,0.283896209,NDRE,1,50,edges,polonez,three
POLO4duzykwadrat,0.22383,0.07365,0.329044364,NDRE,1,50,bounded,polonez,four
POLO4malykwadrat,0.22609,0.06232,0.275642443,NDRE,1,50,edges,polonez,four
POLO5duzykwadrat,0.22677,0.06792,0.299510517,NDRE,1,50,bounded,polonez,five
POLO5malykwadrat,0.23538,0.0624,0.265103237,NDRE,1,50,edges,polonez,five
ENRO2duzykwadrat,0.75344,0.16726,0.221995116,NDVI,1,50,bounded,enrosadira,two
ENRO2malykwadrat,0.80322,0.11145,0.138754015,NDVI,1,50,edges,enrosadira,two
ENRO3duzykwadrat,0.80724,0.13838,0.171423616,NDVI,1,50,bounded,enrosadira,three
ENRO3malykwadrat,0.84929,0.08626,0.101567191,NDVI,1,50,edges,enrosadira,three
ENRO4duzykwadrat,0.83876,0.10479,0.124934427,NDVI,1,50,bounded,enrosadira,four
ENRO4malykwadrat,0.87229,0.05275,0.060473008,NDVI,1,50,edges,enrosadira,four
ENRO5duzykwadrat,0.86572,0.06611,0.076364182,NDVI,1,50,bounded,enrosadira,five
ENRO5malykwadrat,0.87616,0.04413,0.050367513,NDVI,1,50,edges,enrosadira,five
POLO2duzykwadrat,0.77309,0.13142,0.169993144,NDVI,1,50,bounded,polonez,two
POLO2malykwadrat,0.81669,0.08546,0.104641908,NDVI,1,50,edges,polonez,two
POLO3duzykwadrat,0.82028,0.10448,0.127371142,NDVI,1,50,bounded,polonez,three
POLO3malykwadrat,0.84317,0.0738,0.087526833,NDVI,1,50,edges,polonez,three
POLO4duzykwadrat,0.82319,0.10853,0.131840766,NDVI,1,50,bounded,polonez,four
POLO4malykwadrat,0.85579,0.05641,0.065915704,NDVI,1,50,edges,polonez,four
POLO5duzykwadrat,0.84917,0.06625,0.078017358,NDVI,1,50,bounded,polonez,five
POLO5malykwadrat,0.86348,0.04906,0.056816603,NDVI,1,50,edges,polonez,five
ENRO2duzykwadrat,0.55382,0.13023,0.235148604,OSAVI,1,50,bounded,enrosadira,two
ENRO2malykwadrat,0.60858,0.09308,0.152946203,OSAVI,1,50,edges,enrosadira,two
ENRO3duzykwadrat,0.61404,0.11405,0.185737086,OSAVI,1,50,bounded,enrosadira,three
ENRO3malykwadrat,0.65459,0.07207,0.110099452,OSAVI,1,50,edges,enrosadira,three
ENRO4duzykwadrat,0.63178,0.09275,0.146807433,OSAVI,1,50,bounded,enrosadira,four
ENRO4malykwadrat,0.67048,0.04353,0.064923637,OSAVI,1,50,edges,enrosadira,four
ENRO5duzykwadrat,0.66503,0.06393,0.096131002,OSAVI,1,50,bounded,enrosadira,five
ENRO5malykwadrat,0.68712,0.03794,0.055215974,OSAVI,1,50,edges,enrosadira,five
POLO2duzykwadrat,0.56055,0.13492,0.240692177,OSAVI,1,50,bounded,polonez,two
POLO2malykwadrat,0.62303,0.08202,0.131646951,OSAVI,1,50,edges,polonez,two
POLO3duzykwadrat,0.61954,0.09925,0.160199503,OSAVI,1,50,bounded,polonez,three
POLO3malykwadrat,0.65412,0.06544,0.100042806,OSAVI,1,50,edges,polonez,three
POLO4duzykwadrat,0.63153,0.09622,0.152360141,OSAVI,1,50,bounded,polonez,four
POLO4malykwadrat,0.67091,0.04539,0.06765438,OSAVI,1,50,edges,polonez,four
POLO5duzykwadrat,0.65643,0.06354,0.096796307,OSAVI,1,50,bounded,polonez,five
POLO5malykwadrat,0.67434,0.03696,0.054809147,OSAVI,1,50,edges,polonez,five
ENRO2duzykwadrat,0.90201,0.04704,0.052150198,SIPI2,1,50,bounded,enrosadira,two
ENRO2malykwadrat,0.88735,0.03583,0.040378656,SIPI2,1,50,edges,enrosadira,two
ENRO3duzykwadrat,0.8951,0.04205,0.046977991,SIPI2,1,50,bounded,enrosadira,three
ENRO3malykwadrat,0.89093,0.03415,0.038330733,SIPI2,1,50,edges,enrosadira,three
ENRO4duzykwadrat,0.89753,0.03771,0.042015309,SIPI2,1,50,bounded,enrosadira,four
ENRO4malykwadrat,0.89878,0.03112,0.034624714,SIPI2,1,50,edges,enrosadira,four
ENRO5duzykwadrat,0.89361,0.03279,0.03669386,SIPI2,1,50,bounded,enrosadira,five
ENRO5malykwadrat,0.89217,0.02865,0.032112714,SIPI2,1,50,edges,enrosadira,five
POLO2duzykwadrat,0.89086,0.04597,0.051601823,SIPI2,1,50,bounded,polonez,two
POLO2malykwadrat,0.87994,0.03593,0.040832329,SIPI2,1,50,edges,polonez,two
POLO3duzykwadrat,0.88979,0.03865,0.043437216,SIPI2,1,50,bounded,polonez,three
POLO3malykwadrat,0.88628,0.03346,0.037753306,SIPI2,1,50,edges,polonez,three
POLO4duzykwadrat,0.88824,0.03869,0.043558047,SIPI2,1,50,bounded,polonez,four
POLO4malykwadrat,0.88556,0.03176,0.035864312,SIPI2,1,50,edges,polonez,four
POLO5duzykwadrat,0.88375,0.03375,0.038189533,SIPI2,1,50,bounded,polonez,five
POLO5malykwadrat,0.88631,0.03147,0.035506764,SIPI2,1,50,edges,polonez,five
ENRO2duzykwadrat,0.7677,0.08083,0.105288524,GNDVI,10,30,bounded,enrosadira,two
ENRO2malykwadrat,0.79372,0.06735,0.084853601,GNDVI,10,30,edges,enrosadira,two
ENRO3duzykwadrat,0.76426,0.09257,0.121123701,GNDVI,10,30,bounded,enrosadira,three
ENRO3malykwadrat,0.80584,0.06285,0.07799315,GNDVI,10,30,edges,enrosadira,three
ENRO4duzykwadrat,0.7844,0.07811,0.099579296,GNDVI,10,30,bounded,enrosadira,four
ENRO4malykwadrat,0.82483,0.05863,0.071081314,GNDVI,10,30,edges,enrosadira,four
ENRO5duzykwadrat,0.793,0.07848,0.098965952,GNDVI,10,30,bounded,enrosadira,five
ENRO5malykwadrat,0.81696,0.05806,0.071068351,GNDVI,10,30,edges,enrosadira,five
POLO2duzykwadrat,0.74521,0.07575,0.1016492,GNDVI,10,30,bounded,polonez,two
POLO2malykwadrat,0.74748,0.07411,0.099146465,GNDVI,10,30,edges,polonez,two
POLO3duzykwadrat,0.74898,0.08769,0.117079228,GNDVI,10,30,bounded,polonez,three
POLO3malykwadrat,0.77527,0.06581,0.084886556,GNDVI,10,30,edges,polonez,three
POLO4duzykwadrat,0.763,0.08898,0.116618611,GNDVI,10,30,bounded,polonez,four
POLO4malykwadrat,0.78703,0.06451,0.08196638,GNDVI,10,30,edges,polonez,four
POLO5duzykwadrat,0.78641,0.07444,0.094658003,GNDVI,10,30,bounded,polonez,five
POLO5malykwadrat,0.80056,0.06226,0.077770561,GNDVI,10,30,edges,polonez,five
ENRO2duzykwadrat,0.43981,0.09848,0.223914872,LCI,10,30,bounded,enrosadira,two
ENRO2malykwadrat,0.44376,0.0886,0.199657473,LCI,10,30,edges,enrosadira,two
ENRO3duzykwadrat,0.44262,0.10089,0.227938186,LCI,10,30,bounded,enrosadira,three
ENRO3malykwadrat,0.45668,0.08726,0.191074713,LCI,10,30,edges,enrosadira,three
ENRO4duzykwadrat,0.45999,0.09885,0.214895976,LCI,10,30,bounded,enrosadira,four
ENRO4malykwadrat,0.49101,0.09281,0.189018554,LCI,10,30,edges,enrosadira,four
ENRO5duzykwadrat,0.46505,0.09896,0.212794323,LCI,10,30,bounded,enrosadira,five
ENRO5malykwadrat,0.47822,0.08956,0.187277822,LCI,10,30,edges,enrosadira,five
POLO2duzykwadrat,0.3934,0.09166,0.232994408,LCI,10,30,bounded,polonez,two
POLO2malykwadrat,0.38242,0.08379,0.219104649,LCI,10,30,edges,polonez,two
POLO3duzykwadrat,0.40467,0.09897,0.244569649,LCI,10,30,bounded,polonez,three
POLO3malykwadrat,0.41091,0.08349,0.203183179,LCI,10,30,edges,polonez,three
POLO4duzykwadrat,0.42733,0.11001,0.257435705,LCI,10,30,bounded,polonez,four
POLO4malykwadrat,0.42997,0.08917,0.207386562,LCI,10,30,edges,polonez,four
POLO5duzykwadrat,0.44947,0.10529,0.234253677,LCI,10,30,bounded,polonez,five
POLO5malykwadrat,0.44466,0.089,0.200152926,LCI,10,30,edges,polonez,five
ENRO2duzykwadrat,0.64517,0.32059,0.496907792,MCARI,10,30,bounded,enrosadira,two
ENRO2malykwadrat,0.78051,0.22713,0.291002037,MCARI,10,30,edges,enrosadira,two
